,review,pos_neg
171,Thank wasting money.,0
2167,So go looking good food...,0
1573,"He almost unbearable watch screen, little charisma, terrible comedic timing.",0
1468,I knew I saw film great things come gifted actor.,1
2282,I waited waited.,0
1753,A charming film wonderful sentiment heart.,1
1402,"It popular I cinema, good house good reactions plenty laughs.",1
2683,"Very good food, great atmosphere.1",1
1464,The death row scenes entirely unmoving.,0
433,I highly recommend modest priced cellular phone.,1
1493,See it.,1
974,This phone tries hard everything fails ability phone.,0
2810,The server negligent needs made us feel unwelcome... I would suggest place!,0
2563,I believe place great stop huge belly hankering sushi.,1
2412,"For service, I give stars.",0
720,"Good value, works fine - power via USB, car, wall outlet.",1
593,Easy use.,1
550,"I love camera, really pretty good quality.",1
152,I absolutely problem headset linking 8530 Blackberry Curve!,1
1742,"A good film indeed, great unconditional love.",1
499,WELL IM SATISFIED.,1
581,"Verizon tech support walked procedures, none worked I ended hard re-set, wiping data.",0
1050,"I'm glad film go obvious choice, lesser film certainly would have.",1
2469,This first Vegas buffet disappoint.,1
1999,All insult one's intelligence huge waste money.,0
1494,"I really hope team behind movie makes movies, continue own, kinda weird style.",1
1702,"But still bad actress, repeating robotic face moves pictures.",0
2199,It worth drive.,1
666,Nice Sound.,1
942,"The mic joke, volume quite low.",0
2479,I LOVED it!,1
2240,Horrible - waste time money.,0
2691,"I probably back, honest.",0
554,I give Wirefly 1 star.I contact Cingular/AT&T; inform practice.,0
1499,Later I found lost power film.,1
2404,Today first taste Buldogis Gourmet Hot Dog I tell I ever thought possible.,1
1601,There simply excuse something poorly done.,0
1269,"The attention given every character, complex psychological portrayals, detailing loyalty, treachery, love, hope, tremendous.",1
2921,This place disgusting!,0
809,"I Verizon LG phone work well together, good reception range exceeds 20 feet line sight.",1
915,So I take battery phone put back together restart it.,0
313,Phone holds charge like new.,1
698,"Because ears occupied, background distracting all.",1
2025,That's right....the red velvet cake.....ohhh stuff good.,1
2510,"I much pasta, I love homemade /hand made pastas thin pizzas here.",1
1165,NOBODY identifies characters they're cardboard cutouts stereotypes (or predictably reverse-stereotypes).,0
491,"It super charged use small hybrid palmtop/camera/cellphone, excels roles.",1
2924,"However, much garlic fondue, barely edible.",0
2156,different cut piece day still wonderful tender well well flavored.,1
408,Plantronics Bluetooth Excelent Buy.,1
1383,"The sets (especially designed work camera) amazing....stylized, beautiful effective.",1
1905,"One boring,pointless movies I ever seen.",0
1117,"Then scene debated whether sack trumpeter (who falsely accused murder) pure horror, really stupid.",0
677,Truly awful.,0
996,What piece junk.. I lose calls phone.,0
8,"Needless say, I wasted money.",0
228,"I phone year now, I tell you, great.",0
22,The commercials misleading.,0
2903,"And drinks WEAK, people!",0
1399,The good cinematography also makes Monica Bellucci look beautiful.,1
1208,"Another thing I really like character got punched face, gallon blood would spew forth soon after.",0
435,Warning - Stay away.,0
2866,This place awesome want something light healthy summer.,1
514,"good product, well made.",1
327,The plug work well.,0
2538,Worst martini ever!,0
2043,"On positive note, server attentive provided great service.",1
461,We would recommend others.,1
1239,You can't even tell talent pathetic lines speak director gave action.,0
1967,Definitely worth seeing sort thought provoking film forces question threshold loneliness.,1
1559,The best example dumb writing established turn zombie-students back humans removing necklace containing piece meteorite.,0
16,I advise EVERYONE DO NOT BE FOOLED!,0
59,The buttons bad.,0
1216,Ironically I mostly find films total waste time watch.,0
775,Great bluetooth!.,1
883,WARNING - DO NOT BUY!!.,0
2931,"If want wait mediocre food downright terrible service, place you.",0
91,Made sturdy.,1
505,"The sound quality device unacceptable.Unless really quiet area, almost hear nothing.",0
